"Label","Value"
"2016-11-26","7901.616"
"2016-12-03","9426.0557"
"2016-12-10","9002.9228"
"2016-12-17","8801.6592"
"2016-12-24","7745.2638"
"2016-12-31","5839.8544"
"2017-01-07","5961.9544"
"2017-01-14","7636.7317"
"2017-01-21","6818.7139"
"2017-01-28","7348.3374"
"2017-02-04","7306.7712"
"2017-02-11","6299.5705"
"2017-02-18","6452.4224"
"2017-02-25","6287.0631"
"2017-03-04","6718.144"
"2017-03-11","6002.7631"
"2017-03-18","6046.6981953"
"2017-03-25","6799.73952863"
"2017-04-01","6763.27576803"
"2017-04-08","7026.80408465"
"2017-04-15","6171.28961108"
"2017-04-22","6357.99956881"
"2017-04-29","6017.71848651"
"2017-05-06","5707.69506104"
"2017-05-13","5060.71403043"
"2017-05-20","4352.60846534"
"2017-05-27","3680.1595653"
"2017-06-03","3061.5249412"
"2017-06-10","3157.95745201"
"2017-06-17","2886.96679397"
"2017-06-24","2954.02051986"
"2017-07-01","3016.47659759"
"2017-07-08","2168.9200271"
"2017-07-15","2966.59898464"
"2017-07-22","3351.4032134"
"2017-07-29","2744.22902618"
"2017-08-05","2339.97258708"
"2017-08-12","2338.0591349"
"2017-08-19","2146.12621405"
"2017-08-26","1892.7288611"
"2017-09-02","1925.90560682"
"2017-09-09","1821.38212802"
"2017-09-16","2254.12524557"
"2017-09-23","2089.76164346"
"2017-09-30","2192.75587486"
"2017-10-07","1980.65663352"
"2017-10-14","1673.52366023"
"2017-10-21","1599.53232923"
"2017-10-28","1492.60175212"
"2017-11-04","1551.42916323"
"2017-11-11","1275.20764323"
"2017-11-18","1436.68195941"
"2017-11-25","966.07500117"
"2017-12-02","1068.5816931"
"2017-12-09","896.28379195"
"2017-12-16","667.39845802"
"2017-12-23","716.37931041"
"2017-12-30","572.14782788"
"2018-01-06","678.9563625"
"2018-01-13","627.32828157"
"2018-01-20","786.55190641"
"2018-01-27","765.34581128"
"2018-02-03","879.97779101"
"2018-02-10","941.43203766"
"2018-02-17","775.31860352"
"2018-02-24","732.86716713"
"2018-03-03","852.15798789"
"2018-03-10","762.68683871"
"2018-03-17","844.61532197"
"2018-03-24","982.96133114"
"2018-03-31","832.85136334"
"2018-04-07","1014.91354447"
"2018-04-14","1123.28440314"
"2018-04-21","989.1344722"
"2018-04-28","883.05408466"
"2018-05-05","842.24751947"
"2018-05-12","825.73013434"
"2018-05-19","929.19170546"
"2018-05-26","838.91628297"
"2018-06-02","829.33964561"
"2018-06-09","968.07165074"
"2018-06-16","971.50987868"
"2018-06-23","1007.78618636"
"2018-06-30","1027.48556255"
"2018-07-07","1091.06723791"
"2018-07-14","1093.82883678"
"2018-07-21","1103.10456406"
"2018-07-28","896.7842954"
"2018-08-04","964.52577115"
"2018-08-11","900.95261788"
"2018-08-18","1041.69443681"
"2018-08-25","919.61418041"
"2018-09-01","669.15008097"
"2018-09-08","895.58340594"
"2018-09-15","1101.55618616"
"2018-09-22","1113.32543124"
"2018-09-29","994.97568348"
"2018-10-06","897.497497"
"2018-10-13","967.11151249"
"2018-10-20","1027.61520671"
"2018-10-27","975.70750087"
"2018-11-03","1006.2169273"
"2018-11-10","1107.95554083"
"2018-11-17","964.70214048"
"2018-11-24","1117.30979379"
"2018-12-01","1561.60931561"
"2018-12-08","1580.32906714"
"2018-12-15","1737.89948256"
"2018-12-22","1696.22491955"
"2018-12-29","1112.77321589"
"2019-01-05","1124.40701082"
"2019-01-12","1339.54476913"
"2019-01-19","1447.00969932"
"2019-01-26","1466.07626228"
"2019-02-02","1744.55907237"
"2019-02-09","1778.65166763"
"2019-02-16","1606.44419897"
"2019-02-23","1515.36793075"
"2019-03-02","1806.77277365"
"2019-03-09","1622.59713853"
"2019-03-16","1638.49780626"
"2019-03-23","1731.44637781"
"2019-03-30","1560.30613183"
"2019-04-06","1440.35169451"
"2019-04-13","1290.22524626"
"2019-04-20","1108.22737007"
"2019-04-27","1140.80603051"
"2019-05-04","1237.10965956"
"2019-05-11","1222.76552644"
"2019-05-18","885.70409578"
"2019-05-25","867.81826249"
"2019-06-01","618.24740306"
"2019-06-08","763.45959331"
"2019-06-15","747.62649983"
"2019-06-22","601.2286725"
"2019-06-29","510.23973633"
"2019-07-06","498.6010169"
"2019-07-13","496.53779393"
"2019-07-20","464.04456996"
"2019-07-27","512.24947292"
"2019-08-03","546.10253688"
"2019-08-10","508.87175974"
"2019-08-17","502.97340681"
"2019-08-24","473.35972959"
"2019-08-31","464.91810032"
"2019-09-07","430.75127138"
"2019-09-14","448.65830978"
"2019-09-21","500.2414304"
"2019-09-28","537.65852636"
"2019-10-05","539.48018562"
"2019-10-12","527.81138756"
"2019-10-19","429.47576518"
"2019-10-26","491.97872125"
"2019-11-02","388.50043583"
"2019-11-09","386.62757803"
"2019-11-16","363.93591628"
"2019-11-23","440.93086793"
"2019-11-30","419.89609113"
"2019-12-07","521.73751403"
"2019-12-14","561.12790545"
"2019-12-21","490.53859858"
"2019-12-28","379.65105461"
"2020-01-04","357.8886215"
"2020-01-11","439.46038519"
"2020-01-18","407.04232468"
"2020-01-25","393.01685348"
"2020-02-01","375.29617546"
"2020-02-08","385.77881274"
"2020-02-15","326.62960742"
"2020-02-22","326.47076096"
"2020-02-29","379.35156654"
"2020-03-07","431.63053133"
"2020-03-14","478.85336975"
"2020-03-21","555.82329776"
"2020-03-28","441.45488578"
"2020-04-04","481.48639469"
"2020-04-11","420.89687938"
"2020-04-18","527.97470645"
"2020-04-25","559.49333622"
"2020-05-02","456.56040093"
"2020-05-09","461.44411358"
"2020-05-16","480.48526077"
"2020-05-23","454.53641267"
"2020-05-30","429.4247255"
"2020-06-06","480.12845976"
"2020-06-13","479.21328978"
"2020-06-20","454.81165443"
"2020-06-27","441.02116221"
"2020-07-04","468.90941905"
"2020-07-11","546.35967276"
"2020-07-18","497.17823138"
"2020-07-25","468.34093076"
"2020-08-01","444.93081647"
"2020-08-08","417.48480141"
"2020-08-15","427.25626483"
"2020-08-22","362.7101653"
"2020-08-29","384.20041741"
"2020-09-05","422.96574952"
"2020-09-12","398.02986861"
"2020-09-19","364.77810169"
"2020-09-26","391.71842887"
"2020-10-03","384.09747772"
"2020-10-10","349.13355566"
"2020-10-17","340.25176022"
"2020-10-24","315.30466004"
"2020-10-31","281.59473527"
"2020-11-07","255.86008046"
"2020-11-14","236.07861806"
"2020-11-21","210.27766675"
"2020-11-28","181.08575328"
"2020-12-05","208.82284651"
"2020-12-12","188.0305841"
"2020-12-19","205.87129412"
"2020-12-26","139.69472509"
"2021-01-02","136.88511015"
"2021-01-09","131.70878677"
"2021-01-16","107.00392307"
"2021-01-23","95.08797359"
"2021-01-30","97.39571359"
"2021-02-06","93.3688539"
"2021-02-13","71.37785361"
"2021-02-20","54.7170466"
"2021-02-27","53.29749691"
"2021-03-06","49.70921856"
