,rates,start_at,base,end_at
2013-12-30,{'USD': 0.0765314055},2013-08-31,MXN,2018-09-01
2013-12-31,{'USD': 0.0763067764},2013-08-31,MXN,2018-09-01
2014-01-02,{'USD': 0.07613834010000001},2013-08-31,MXN,2018-09-01
2014-01-03,{'USD': 0.07650524660000001},2013-08-31,MXN,2018-09-01
2014-01-06,{'USD': 0.0761905829},2013-08-31,MXN,2018-09-01
2014-01-07,{'USD': 0.0765991139},2013-08-31,MXN,2018-09-01
2014-01-08,{'USD': 0.0767784022},2013-08-31,MXN,2018-09-01
2014-01-09,{'USD': 0.0761983665},2013-08-31,MXN,2018-09-01
2014-01-10,{'USD': 0.07645258220000001},2013-08-31,MXN,2018-09-01
2014-01-13,{'USD': 0.0768624537},2013-08-31,MXN,2018-09-01
2014-01-14,{'USD': 0.0762863235},2013-08-31,MXN,2018-09-01
2014-01-15,{'USD': 0.07624843790000001},2013-08-31,MXN,2018-09-01
2014-01-16,{'USD': 0.07535510620000001},2013-08-31,MXN,2018-09-01
2014-01-17,{'USD': 0.07508789},2013-08-31,MXN,2018-09-01
2014-01-20,{'USD': 0.07555723880000001},2013-08-31,MXN,2018-09-01
2014-01-21,{'USD': 0.0751173187},2013-08-31,MXN,2018-09-01
2014-01-22,{'USD': 0.0751824696},2013-08-31,MXN,2018-09-01
2014-01-23,{'USD': 0.074878259},2013-08-31,MXN,2018-09-01
2014-01-24,{'USD': 0.07415092400000001},2013-08-31,MXN,2018-09-01
2014-01-27,{'USD': 0.0746546852},2013-08-31,MXN,2018-09-01
2014-01-28,{'USD': 0.07523882500000001},2013-08-31,MXN,2018-09-01
2014-01-29,{'USD': 0.0751200662},2013-08-31,MXN,2018-09-01
2014-01-30,{'USD': 0.0749485122},2013-08-31,MXN,2018-09-01
2014-01-31,{'USD': 0.07442157540000001},2013-08-31,MXN,2018-09-01
2014-02-03,{'USD': 0.0750339092},2013-08-31,MXN,2018-09-01
2014-02-04,{'USD': 0.0746407098},2013-08-31,MXN,2018-09-01
2014-02-05,{'USD': 0.0749764712},2013-08-31,MXN,2018-09-01
2014-02-06,{'USD': 0.0754745473},2013-08-31,MXN,2018-09-01
2014-02-07,{'USD': 0.0749427191},2013-08-31,MXN,2018-09-01
2014-02-10,{'USD': 0.0751935249},2013-08-31,MXN,2018-09-01
2014-02-11,{'USD': 0.07530837},2013-08-31,MXN,2018-09-01
2014-02-12,{'USD': 0.075137149},2013-08-31,MXN,2018-09-01
2014-02-13,{'USD': 0.0748392393},2013-08-31,MXN,2018-09-01
2014-02-14,{'USD': 0.07544874580000001},2013-08-31,MXN,2018-09-01
2014-02-17,{'USD': 0.0756244997},2013-08-31,MXN,2018-09-01
2014-02-18,{'USD': 0.0757087878},2013-08-31,MXN,2018-09-01
2014-02-19,{'USD': 0.07532662550000001},2013-08-31,MXN,2018-09-01
2014-02-20,{'USD': 0.0750187465},2013-08-31,MXN,2018-09-01
2014-02-21,{'USD': 0.0751694562},2013-08-31,MXN,2018-09-01
2014-02-24,{'USD': 0.07541482270000001},2013-08-31,MXN,2018-09-01
2014-02-25,{'USD': 0.0754387889},2013-08-31,MXN,2018-09-01
2014-02-26,{'USD': 0.0754233842},2013-08-31,MXN,2018-09-01
2014-02-27,{'USD': 0.0750020596},2013-08-31,MXN,2018-09-01
2014-02-28,{'USD': 0.0754433588},2013-08-31,MXN,2018-09-01
2014-03-03,{'USD': 0.07523620610000001},2013-08-31,MXN,2018-09-01
2014-03-04,{'USD': 0.07524442960000001},2013-08-31,MXN,2018-09-01
2014-03-05,{'USD': 0.0754716981},2013-08-31,MXN,2018-09-01
2014-03-06,{'USD': 0.07580771480000001},2013-08-31,MXN,2018-09-01
2014-03-07,{'USD': 0.0759417565},2013-08-31,MXN,2018-09-01
2014-03-10,{'USD': 0.0758379545},2013-08-31,MXN,2018-09-01
2014-03-11,{'USD': 0.0755744477},2013-08-31,MXN,2018-09-01
2014-03-12,{'USD': 0.0753152371},2013-08-31,MXN,2018-09-01
2014-03-13,{'USD': 0.0758150031},2013-08-31,MXN,2018-09-01
2014-03-14,{'USD': 0.0752304216},2013-08-31,MXN,2018-09-01
2014-03-17,{'USD': 0.0756945654},2013-08-31,MXN,2018-09-01
2014-03-18,{'USD': 0.0758151685},2013-08-31,MXN,2018-09-01
2014-03-19,{'USD': 0.0760111233},2013-08-31,MXN,2018-09-01
2014-03-20,{'USD': 0.07527293410000001},2013-08-31,MXN,2018-09-01
2014-03-21,{'USD': 0.0754262569},2013-08-31,MXN,2018-09-01
2014-03-24,{'USD': 0.0758041881},2013-08-31,MXN,2018-09-01
2014-03-25,{'USD': 0.07607472300000001},2013-08-31,MXN,2018-09-01
2014-03-26,{'USD': 0.076199264},2013-08-31,MXN,2018-09-01
2014-03-27,{'USD': 0.0762617444},2013-08-31,MXN,2018-09-01
2014-03-28,{'USD': 0.0764711767},2013-08-31,MXN,2018-09-01
2014-03-31,{'USD': 0.0765374944},2013-08-31,MXN,2018-09-01
2014-04-01,{'USD': 0.07649933710000001},2013-08-31,MXN,2018-09-01
2014-04-02,{'USD': 0.0765610518},2013-08-31,MXN,2018-09-01
2014-04-03,{'USD': 0.07625433990000001},2013-08-31,MXN,2018-09-01
2014-04-04,{'USD': 0.0762865702},2013-08-31,MXN,2018-09-01
2014-04-07,{'USD': 0.0766429676},2013-08-31,MXN,2018-09-01
2014-04-08,{'USD': 0.0771276745},2013-08-31,MXN,2018-09-01
2014-04-09,{'USD': 0.0766226913},2013-08-31,MXN,2018-09-01
2014-04-10,{'USD': 0.0769824351},2013-08-31,MXN,2018-09-01
2014-04-11,{'USD': 0.0763708434},2013-08-31,MXN,2018-09-01
2014-04-14,{'USD': 0.07660769790000001},2013-08-31,MXN,2018-09-01
2014-04-15,{'USD': 0.0766782215},2013-08-31,MXN,2018-09-01
2014-04-16,{'USD': 0.0766020567},2013-08-31,MXN,2018-09-01
2014-04-17,{'USD': 0.0765520366},2013-08-31,MXN,2018-09-01
2014-04-22,{'USD': 0.0766665557},2013-08-31,MXN,2018-09-01
2014-04-23,{'USD': 0.0765112549},2013-08-31,MXN,2018-09-01
2014-04-24,{'USD': 0.0765023692},2013-08-31,MXN,2018-09-01
2014-04-25,{'USD': 0.0761832894},2013-08-31,MXN,2018-09-01
2014-04-28,{'USD': 0.0762368341},2013-08-31,MXN,2018-09-01
2014-04-29,{'USD': 0.0764276988},2013-08-31,MXN,2018-09-01
2014-04-30,{'USD': 0.0762950885},2013-08-31,MXN,2018-09-01
